0,1;0,1;5,0
0,2;0,2;5,0
0,3;0,3;5,0
0,4;0,4;5,0
0,5;0,5;5,0
0,6;0,6;5,0
0,7;0,7;5,0
0,8;0,8;5,0
0,9;0,9;5,0
1,0;1,0;5,0
1,1;1,1;5,6167
1,2;1,2;6,1519
1,3;1,3;6,6275
1,4;1,4;7,0588
1,5;1,5;7,4581
1,6;1,6;7,8347
1,7;1,7;8,1962
1,8;1,8;8,5495
1,9;1,9;8,9006
2,0;2,0;9,2554
2,1;2,1;9,5259
2,2;2,2;9,7851
2,3;2,3;10,0353
2,4;2,4;10,2787
2,5;2,5;10,5173
2,6;2,6;10,7528
2,7;2,7;10,9872
2,8;2,8;11,2222
2,9;2,9;11,4597
3,0;3,0;11,7016
3,1;3,1;11,9499
3,2;3,2;12,2069
3,3;3,3;12,4752
3,4;3,4;12,7576
3,5;3,5;13,0576
3,6;3,6;13,3792
3,7;3,7;13,7273
3,8;3,8;14,108
3,9;3,9;14,529
4,0;4,0;15,0
4,1;4,1;15,0
4,2;4,2;15,0
4,3;4,3;15,0
4,4;4,4;15,0
4,5;4,5;15,0
4,6;4,6;15,0
4,7;4,7;15,0
4,8;4,8;15,0
4,9;4,9;15,0
5,0;5,0;15,0
5,1;5,1;15,0
5,2;5,2;15,0
5,3;5,3;15,0
5,4;5,4;15,0
5,5;5,5;15,0
5,6;5,6;15,0
5,7;5,7;15,0
5,8;5,8;15,0
5,9;5,9;15,0
6,0;6,0;15,0
6,1;6,1;15,0
6,2;6,2;15,0
6,3;6,3;15,0
6,4;6,4;15,0
6,5;6,5;15,0
6,6;6,6;15,0
6,7;6,7;15,0
6,8;6,8;15,0
6,9;6,9;15,0
7,0;7,0;15,0
7,1;7,1;16,0124
7,2;7,2;16,8446
7,3;7,3;17,5465
7,4;7,4;18,1517
7,5;7,5;18,6842
7,6;7,6;19,1614
7,7;7,7;19,5965
7,8;7,8;19,9999
7,9;7,9;20,3803
8,0;8,0;20,7446
8,1;8,1;21,0994
8,2;8,2;21,4505
8,3;8,3;21,8038
8,4;8,4;22,1653
8,5;8,5;22,5419
8,6;8,6;22,9412
8,7;8,7;23,3725
8,8;8,8;23,8481
8,9;8,9;24,3833
9,0;9,0;25,0
